Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
20-Feb-18,2722.99,2716.26,2737.6,2706.76,2065143424,30.84,-4.15,-9.23,-0.044355645
21-Feb-18,2720.53,2701.33,2747.75,2701.29,2153678592,46.46,-2.46,4.27,0.041108812
22-Feb-18,2710.42,2703.96,2731.26,2697.77,2056350976,33.49,-10.11,9.09,-0.047330255
23-Feb-18,2715.8,2747.3,2747.76,2713.74,1847129216,34.02,5.38,11.84,-0.113268611
26-Feb-18,2757.37,2779.6,2780.64,2753.78,2069083648,26.86,41.57,10.07,0.107271851
27-Feb-18,2780.45,2744.28,2789.15,2744.22,2322243840,44.93,23.08,0.85,0.109015336
28-Feb-18,2753.78,2713.83,2761.52,2713.54,2520861696,47.98,-26.67,9.5,0.078789668
1-Mar-18,2715.22,2677.67,2730.89,2659.65,2727014656,71.24,-38.56,1.39,0.075596572
2-Mar-18,2658.89,2691.25,2696.25,2647.32,2370240000,48.93,-56.33,-18.78,-0.150522587
5-Mar-18,2681.06,2720.94,2728.09,2675.75,2302022912,52.34,22.17,-10.19,-0.02963354
6-Mar-18,2730.18,2728.12,2732.08,2711.26,2024807936,20.82,49.12,9.24,-0.13690927
7-Mar-18,2710.18,2726.8,2730.6,2701.74,2048011904,28.86,-20,-17.94,0.011329997
8-Mar-18,2732.75,2738.97,2740.45,2722.65,1925866880,17.8,22.57,5.95,-0.063423399
9-Mar-18,2752.91,2786.57,2786.57,2751.54,2067569536,35.03,20.16,13.94,0.06853586
12-Mar-18,2790.54,2783.02,2796.98,2779.26,2066356736,17.72,37.63,3.97,-0.000586927
13-Mar-18,2792.31,2765.31,2801.9,2758.68,2181562112,43.22,1.77,9.29,0.052808662
14-Mar-18,2774.06,2749.48,2777.11,2744.38,2079983360,32.73,-18.25,8.75,-0.048836329
15-Mar-18,2754.27,2747.33,2763.03,2741.47,1935529088,21.56,-19.79,4.79,-0.074632964
16-Mar-18,2750.57,2752.01,2761.85,2749.97,3318220800,11.88,-3.7,3.24,0.416696717
19-Mar-18,2741.38,2712.92,2741.38,2694.59,2126426240,46.79,-9.19,-10.63,-0.560468328
20-Mar-18,2715.05,2716.94,2724.22,2710.05,2039159552,14.17,-26.33,2.13,-0.042795419
21-Mar-18,2714.99,2711.93,2739.14,2709.79,2045064192,29.35,-0.06,-1.95,0.002887264
22-Mar-18,2691.36,2643.69,2695.68,2641.59,2428265216,54.09,-23.63,-20.57,0.157808555
23-Mar-18,2646.71,2588.26,2657.67,2585.89,2479592704,71.78,-44.65,3.02,0.020699967
26-Mar-18,2619.35,2658.55,2661.36,2601.81,2353773568,59.55,-27.36,31.09,-0.053454222
27-Mar-18,2667.57,2612.62,2674.78,2596.12,2446667008,78.66,48.22,9.02,0.037967341
28-Mar-18,2611.3,2605,2632.65,2593.06,2480309248,39.59,-56.27,-1.32,0.013563728
29-Mar-18,2614.41,2640.87,2659.07,2609.72,2299425280,49.35,3.11,9.41,-0.07866486
2-Apr-18,2633.45,2581.88,2638.3,2553.8,2407973888,84.5,19.04,-7.42,0.045078814
3-Apr-18,2592.17,2614.45,2619.14,2575.49,2100823040,43.65,-41.28,10.29,-0.146205007
4-Apr-18,2584.04,2644.69,2649.86,2573.61,2152514304,76.25,-8.13,-30.41,0.024014365
5-Apr-18,2657.36,2662.84,2672.08,2649.58,1943466368,22.5,73.32,12.67,-0.107564473
6-Apr-18,2645.82,2604.47,2656.88,2586.27,2085872640,70.61,-11.54,-17.02,0.068271796
9-Apr-18,2617.18,2613.16,2653.55,2610.79,1848787712,42.76,-28.64,12.71,-0.128238048
10-Apr-18,2638.41,2656.87,2665.45,2635.78,2091518208,29.67,21.23,25.25,0.116054689
11-Apr-18,2643.89,2642.19,2661.43,2639.25,1740774144,22.18,5.48,-12.98,-0.201487404
12-Apr-18,2653.83,2663.99,2674.72,2653.83,1907272960,20.89,9.94,11.64,0.087296795
13-Apr-18,2676.9,2656.3,2680.26,2645.05,1797291136,35.21,23.07,12.91,-0.061193104
16-Apr-18,2670.1,2677.84,2686.49,2665.16,1842305536,21.33,-6.8,13.8,0.024433732
17-Apr-18,2692.74,2706.39,2713.34,2692.05,1919667200,21.29,22.64,14.9,0.040299519
18-Apr-18,2710.11,2708.64,2717.49,2703.63,1986302592,13.86,17.37,3.72,0.033547453
19-Apr-18,2701.16,2693.13,2702.84,2681.9,2142193024,20.94,-8.95,-7.48,0.072771422
20-Apr-18,2692.56,2670.14,2693.94,2660.61,2279168256,33.33,-8.6,-0.57,0.06009878
23-Apr-18,2675.4,2670.29,2682.86,2657.99,1830935040,24.87,-17.16,5.26,-0.244811097
24-Apr-18,2680.8,2634.56,2683.55,2617.32,2358410752,66.23,5.4,10.51,0.223657271
25-Apr-18,2634.92,2639.4,2645.3,2612.67,2131949056,32.63,-45.88,0.36,-0.106222846
26-Apr-18,2651.65,2666.94,2676.48,2647.16,2340543232,29.32,16.73,12.25,0.089122121
27-Apr-18,2675.47,2669.91,2677.35,2659.01,2032982912,18.34,23.82,8.53,-0.151285246
30-Apr-18,2675.05,2648.05,2682.92,2648.04,2235965696,34.88,-0.42,5.14,0.090780813
1-May-18,2643.64,2654.8,2655.27,2625.41,2101716480,29.86,-31.41,-4.41,-0.063875988
2-May-18,2654.24,2635.67,2660.87,2631.7,2286611200,29.17,10.6,-0.56,0.080859711
3-May-18,2628.08,2629.73,2637.14,2594.62,2341679872,42.52,-26.16,-7.59,0.023516738
4-May-18,2621.45,2663.42,2670.93,2615.32,1892147456,55.61,-6.63,-8.28,-0.237577898
7-May-18,2669.36,2672.63,2683.35,2664.7,1866427776,18.65,47.91,5.94,-0.013780164
8-May-18,2670.26,2671.92,2676.34,2655.2,2059159168,21.14,0.9,-2.37,0.093597132
9-May-18,2678.12,2697.79,2701.27,2674.14,2036061056,27.13,7.86,6.2,-0.011344509
10-May-18,2705.02,2723.07,2726.11,2704.54,1767556224,21.57,26.9,7.23,-0.151907378
11-May-18,2722.7,2727.72,2732.86,2717.45,1726833664,15.41,17.68,-0.37,-0.023582213
14-May-18,2733.37,2730.13,2742.1,2725.47,1776892544,16.63,10.67,5.65,0.028172148
15-May-18,2718.59,2711.45,2718.59,2701.91,1907316992,16.68,-14.78,-11.54,0.068381107
16-May-18,2712.62,2722.46,2727.76,2712.17,1777257600,15.59,-5.97,1.17,-0.07317982
17-May-18,2719.71,2720.13,2731.96,2711.36,1897528576,20.6,7.09,-2.75,0.063382959
18-May-18,2717.35,2712.97,2719.5,2709.18,1963173632,10.32,-2.36,-2.78,0.033438232
21-May-18,2725.95,2733.01,2739.19,2725.7,1817499776,13.49,8.6,12.98,-0.080150687
22-May-18,2738.34,2724.44,2742.24,2721.88,1990404480,20.36,12.39,5.33,0.086869129
23-May-18,2713.98,2733.29,2733.33,2709.54,2043427328,23.79,-24.36,-10.46,0.025947998
24-May-18,2730.94,2727.76,2731.97,2707.38,1925873152,24.59,16.96,-2.35,-0.061039418
25-May-18,2723.6,2721.33,2727.36,2714.99,1663289984,12.37,-7.34,-4.16,-0.157869746
29-May-18,2705.11,2689.86,2710.67,2676.81,2180852736,33.86,-18.49,-16.22,0.237321275
30-May-18,2702.43,2724.01,2729.34,2702.43,1971106560,26.91,-2.68,12.57,-0.106410369
31-May-18,2720.98,2705.27,2722.5,2700.68,2626903296,21.82,18.55,-3.03,0.249646318
1-Jun-18,2718.7,2734.62,2736.93,2718.7,1904967040,18.23,-2.28,13.43,-0.37897572
4-Jun-18,2741.67,2746.87,2749.16,2740.54,1878657536,8.62,22.97,7.05,-0.014004417
5-Jun-18,2748.46,2748.8,2752.61,2739.51,1913669504,13.1,6.79,1.59,0.018295723
6-Jun-18,2753.25,2772.35,2772.39,2748.46,2031619072,23.93,4.79,4.45,0.058056931
7-Jun-18,2774.84,2770.37,2779.9,2760.16,2011346816,19.74,21.59,2.49,-0.010078946
8-Jun-18,2765.84,2779.03,2779.39,2763.59,1722644736,15.8,-9,-4.53,-0.16759235
11-Jun-18,2780.18,2782,2790.21,2780.17,1784698112,10.04,14.34,1.15,0.034769676
12-Jun-18,2785.6,2786.85,2789.8,2778.78,1880236032,11.02,5.42,3.6,0.050811663
13-Jun-18,2787.94,2775.63,2791.47,2774.65,2302860032,16.82,2.34,1.09,0.183521358
14-Jun-18,2783.21,2782.49,2789.06,2776.52,2099538432,12.54,-4.73,7.58,-0.096841095
15-Jun-18,2777.78,2779.66,2782.81,2761.73,3325226496,21.08,-5.43,-4.71,0.36860288
18-Jun-18,2765.79,2773.75,2774.99,2757.12,1917528192,17.87,-11.99,-13.87,-0.734121308
19-Jun-18,2752.01,2762.59,2765.05,2743.19,2060248192,21.86,-13.78,-21.74,0.069273207
20-Jun-18,2769.73,2767.32,2774.86,2763.91,2082067968,10.95,17.72,7.14,0.010479858
21-Jun-18,2769.28,2749.76,2769.28,2744.39,2062497280,24.89,-0.45,1.96,-0.009488831
22-Jun-18,2760.79,2754.88,2764.17,2752.68,2780227584,11.49,-8.49,11.03,0.258155235
25-Jun-18,2742.94,2717.07,2742.94,2698.67,2277412352,44.27,-17.85,-11.94,-0.220783571
26-Jun-18,2722.12,2723.06,2732.91,2715.6,2148853248,17.31,-20.82,5.05,-0.059826842
27-Jun-18,2728.45,2699.63,2746.09,2699.38,2224804864,46.71,6.33,5.39,0.034138552
28-Jun-18,2698.69,2716.31,2724.34,2691.99,2043065344,32.35,-29.76,-0.94,-0.088954335
29-Jun-18,2727.13,2718.37,2743.26,2718.03,2174262784,25.23,28.44,10.82,0.060341115
2-Jul-18,2704.95,2726.71,2727.26,2698.95,1724179456,28.31,-22.18,-13.42,-0.261042043
3-Jul-18,2733.27,2713.22,2736.58,2711.16,1119834112,25.42,28.32,6.56,-0.539673991
5-Jul-18,2724.19,2736.61,2737.83,2716.02,1676664704,21.81,-9.08,10.97,0.33210611
6-Jul-18,2737.68,2759.82,2764.41,2733.52,1510509056,30.89,13.49,1.07,-0.10999977
9-Jul-18,2768.51,2784.17,2784.65,2768.51,1701121152,16.14,30.83,8.69,0.112050865
10-Jul-18,2788.56,2793.84,2795.58,2786.24,1665947008,9.34,20.05,4.39,-0.021113603
11-Jul-18,2779.82,2774.02,2785.91,2770.77,1780640384,15.14,-8.74,-14.02,0.064411308
12-Jul-18,2783.14,2798.29,2799.22,2781.53,1812845824,17.69,3.32,9.12,0.017765129
13-Jul-18,2796.93,2801.31,2804.53,2791.69,1712368000,12.84,13.79,-1.36,-0.058677705
16-Jul-18,2801.43,2798.43,2803.71,2793.39,1742967808,10.32,4.5,0.12,0.017556152
17-Jul-18,2789.34,2809.55,2814.19,2789.24,1807157760,24.95,-12.09,-9.09,0.035519839
18-Jul-18,2811.35,2815.62,2816.76,2805.89,1890165120,10.87,22.01,1.8,0.043915401
19-Jul-18,2809.37,2804.49,2812.05,2799.77,2068730240,12.28,-1.98,-6.25,0.08631629
20-Jul-18,2804.55,2801.83,2809.7,2800.01,2011729536,9.69,-4.82,0.06,-0.028334179
23-Jul-18,2799.17,2806.98,2808.61,2795.14,1790007296,13.47,-5.38,-2.66,-0.123866668
24-Jul-18,2820.68,2820.4,2829.99,2811.12,2099243008,18.87,21.51,13.7,0.147308201
25-Jul-18,2817.73,2846.07,2848.03,2817.73,2207127296,30.3,-2.95,-2.67,0.048879957
26-Jul-18,2835.49,2837.44,2845.57,2835.26,2346155008,10.31,17.76,-10.58,0.059257684
27-Jul-18,2842.35,2818.82,2843.17,2808.34,2157114624,34.83,6.86,4.91,-0.087635762
30-Jul-18,2819,2802.6,2821.74,2798.11,2024793728,23.63,-23.35,0.18,-0.065350309
31-Jul-18,2809.73,2816.29,2824.46,2808.06,2290638336,16.4,-9.27,7.13,0.116056998
1-Aug-18,2821.17,2813.36,2825.83,2805.85,2111969536,19.98,11.44,4.88,-0.08459819
2-Aug-18,2800.48,2827.22,2829.91,2796.34,1946775808,33.57,-20.69,-12.88,-0.084855034
3-Aug-18,2829.62,2840.35,2840.38,2827.37,1771647104,13.01,29.14,2.4,-0.098850783
6-Aug-18,2840.29,2850.4,2853.29,2835.98,1674866048,17.31,10.67,-0.06,-0.057784356
7-Aug-18,2855.92,2858.45,2863.43,2855.92,1704409088,7.51,15.63,5.52,0.017333303
8-Aug-18,2856.79,2857.7,2862.44,2853.09,1575794176,9.35,0.87,-1.66,-0.081619106
9-Aug-18,2857.19,2853.58,2862.48,2851.98,1646496384,10.5,0.4,-0.51,0.042941004
10-Aug-18,2839.64,2833.28,2842.2,2825.81,1759649536,16.39,-17.55,-13.94,0.064304368
13-Aug-18,2835.46,2821.93,2843.4,2819.88,1743995008,23.52,-4.18,2.18,-0.008976246
14-Aug-18,2827.88,2839.96,2843.11,2826.58,1645418112,16.53,-7.58,5.95,-0.059909937
15-Aug-18,2827.95,2818.37,2827.95,2802.49,2103455104,25.46,0.07,-12.01,0.217754584
16-Aug-18,2831.44,2840.69,2850.49,2831.44,1887908480,19.05,3.49,13.07,-0.114172179
17-Aug-18,2838.32,2850.13,2855.63,2833.73,1810709888,21.9,6.88,-2.37,-0.042634434
20-Aug-18,2853.93,2857.05,2859.76,2850.62,1609404544,9.14,15.61,3.8,-0.125080636
21-Aug-18,2861.51,2862.96,2873.23,2861.32,1787415424,11.91,7.58,4.46,0.099591218
22-Aug-18,2860.99,2861.82,2867.54,2856.05,1545661568,11.49,-0.52,-1.97,-0.156408014
23-Aug-18,2860.29,2856.98,2868.78,2854.03,1513926528,14.75,-0.7,-1.53,-0.020962074
24-Aug-18,2862.35,2874.69,2876.16,2862.35,1476168448,13.81,2.06,5.37,-0.025578436
27-Aug-18,2884.69,2896.74,2898.25,2884.69,1697501440,13.56,22.34,10,0.130387514
28-Aug-18,2901.45,2897.52,2903.77,2893.5,1538835968,10.27,16.76,4.71,-0.103107463
29-Aug-18,2900.62,2914.04,2916.5,2898.4,1569384064,18.1,-0.83,3.1,0.019465022
30-Aug-18,2908.94,2901.13,2912.46,2895.22,1632867968,17.24,8.32,-5.1,0.038878774
31-Aug-18,2898.37,2901.52,2906.32,2891.73,1706747520,14.59,-10.57,-2.76,0.043286749
4-Sep-18,2896.96,2896.72,2900.18,2885.13,1812180096,15.05,-1.41,-4.56,0.058179966
5-Sep-18,2891.59,2888.6,2894.21,2876.92,2001835520,17.29,-5.37,-5.13,0.094740763
6-Sep-18,2888.64,2878.05,2892.05,2867.29,1886259200,24.76,-2.95,0.04,-0.061272767
