Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
10-Feb-09,866.87,827.16,868.05,822.99,6770169856,45.06,-1.37,-3.02,0.176627779
11-Feb-09,827.41,833.74,838.22,822.3,5926459904,15.92,-39.46,0.25,-0.142363226
12-Feb-09,829.91,835.19,835.48,808.06,6476460032,27.42,2.5,-3.83,0.084922956
13-Feb-09,833.95,826.84,839.43,825.21,5296650240,14.22,4.04,-1.24,-0.222746404
17-Feb-09,818.61,789.17,818.61,789.17,5907820032,29.44,-15.34,-8.23,0.103450983
18-Feb-09,791.06,788.42,796.17,780.43,5740709888,15.74,-27.55,1.89,-0.029109665
19-Feb-09,787.91,778.94,797.58,777.03,5746939904,20.55,-3.15,-0.51,0.001084058
20-Feb-09,775.87,770.05,778.69,754.25,8210590208,24.44,-12.04,-3.07,0.300057638
23-Feb-09,773.25,743.33,777.85,742.37,6509300224,35.48,-2.62,3.2,-0.261362962
24-Feb-09,744.69,773.14,775.49,744.69,7234489344,30.8,-28.56,1.36,0.10024054
25-Feb-09,770.64,764.9,780.12,752.89,7483639808,27.23,25.95,-2.5,0.033292685
26-Feb-09,765.76,752.83,779.42,751.75,7599969792,27.67,-4.88,0.86,0.015306638
27-Feb-09,749.93,735.09,751.27,734.52,8926480384,16.75,-15.83,-2.9,0.148603989
2-Mar-09,729.57,700.82,729.57,699.7,7868289536,29.87,-20.36,-5.52,-0.134488041
3-Mar-09,704.44,696.33,711.67,692.3,7583230464,19.37,-25.13,3.62,-0.037590717
4-Mar-09,698.6,712.87,724.12,698.6,7673619968,25.52,-5.84,2.27,0.011779252
5-Mar-09,708.27,682.55,708.27,677.93,7507249664,30.34,9.67,-4.6,-0.022161286
6-Mar-09,684.04,683.38,699.09,666.79,7331830272,32.3,-24.23,1.49,-0.02392573
9-Mar-09,680.76,676.53,695.27,672.88,7277320192,22.39,-3.28,-2.62,-0.007490406
10-Mar-09,679.28,719.6,719.6,679.28,8618330112,40.32,-1.48,2.75,0.155599739
11-Mar-09,719.59,721.36,731.92,713.85,7287809536,18.07,40.31,-0.01,-0.182567968
12-Mar-09,720.89,750.74,752.63,714.76,7326630400,37.87,1.3,-0.47,0.005298597
13-Mar-09,751.97,756.55,758.29,742.46,6787089408,15.83,31.08,1.23,-0.079495194
16-Mar-09,758.84,753.89,774.53,753.37,7883539968,21.16,6.87,2.29,0.139080992
17-Mar-09,753.88,778.12,778.12,749.93,6156800000,28.19,-4.96,-0.01,-0.280460624
18-Mar-09,776.01,794.35,803.04,765.64,9098449920,37.4,22.13,-2.11,0.323313306
19-Mar-09,797.92,784.04,803.24,781.82,9033870336,21.42,21.91,3.57,-0.007148606
20-Mar-09,784.58,768.54,788.91,766.2,7643720192,22.71,-13.34,0.54,-0.181868267
23-Mar-09,772.31,822.92,823.37,772.31,7715769344,51.06,-12.27,3.77,0.009337909
24-Mar-09,820.6,806.12,823.65,805.48,6767980032,18.17,48.29,-2.32,-0.140040205
25-Mar-09,806.81,813.88,826.78,791.37,7687179776,35.41,-13.79,0.69,0.119575679
26-Mar-09,814.06,832.86,832.98,814.06,6992960000,18.92,7.25,0.18,-0.099274095
27-Mar-09,828.68,815.94,828.68,813.43,5600209920,15.25,14.62,-4.18,-0.248696049
30-Mar-09,809.07,787.53,809.07,779.81,5912659968,29.26,-19.61,-6.87,0.052844244
31-Mar-09,790.88,797.87,810.48,790.88,6089099776,19.6,-18.19,3.35,0.028976337
1-Apr-09,793.59,811.08,813.62,783.32,6034140160,30.3,2.71,-4.28,-0.009108111
2-Apr-09,814.53,834.38,845.61,814.53,7542809600,31.08,20.94,3.45,0.200014255
3-Apr-09,835.13,842.5,842.5,826.7,5855640064,15.8,20.6,0.75,-0.288127262
6-Apr-09,839.75,835.48,839.75,822.79,6209999872,16.96,4.62,-2.75,0.057062772
7-Apr-09,834.12,815.55,834.12,814.53,5155579904,19.59,-5.63,-1.36,-0.204520149
8-Apr-09,816.76,825.16,828.42,814.84,5938460160,13.58,-17.36,1.21,0.131832198
9-Apr-09,829.29,856.56,856.91,829.29,7600710656,27.62,12.53,4.13,0.218696721
13-Apr-09,855.33,858.73,864.31,845.35,6434890240,18.96,26.04,-1.23,-0.181171764
14-Apr-09,856.88,841.5,856.88,840.25,7569840128,16.63,1.55,-1.85,0.149930496
15-Apr-09,839.44,852.06,852.93,835.58,6241099776,17.35,-17.44,-2.06,-0.212901636
